[2022/08/16 08:15:33] - [-] 1 th iter: Global minimum: 5.286864 (estimated lower bound: -1.415185). Number of funcation evaluation: 5, found largest slope: 14.925583839416504
[2022/08/16 08:15:34] - [-] 59 th iter: Global minimum: 4.366491 (estimated lower bound: 3.277198). Number of funcation evaluation: 265, found largest slope: 589.48779296875
[2022/08/16 08:15:34] - [-] 60 th iter: Global minimum: 4.366491 (estimated lower bound: 3.277198). Number of funcation evaluation: 267, found largest slope: 589.48779296875
[2022/08/16 08:15:34] - [-] 61 th iter: Global minimum: 4.366491 (estimated lower bound: 3.277198). Number of funcation evaluation: 271, found largest slope: 589.48779296875
[2022/08/16 08:15:34] - [-] 62 th iter: Global minimum: 4.366491 (estimated lower bound: 3.277198). Number of funcation evaluation: 273, found largest slope: 589.48779296875
[2022/08/16 08:15:34] - [-] 63 th iter: Global minimum: 4.366491 (estimated lower bound: 3.277198). Number of funcation evaluation: 275, found largest slope: 589.48779296875
[2022/08/16 08:15:34] - [-] 64 th iter: Global minimum: 4.366491 (estimated lower bound: 3.277198). Number of funcation evaluation: 283, found largest slope: 589.48779296875
[2022/08/16 08:15:34] - [-] 65 th iter: Global minimum: 4.366491 (estimated lower bound: 3.277198). Number of funcation evaluation: 291, found largest slope: 589.48779296875
[2022/08/16 08:15:34] - [-] 66 th iter: Global minimum: 4.366491 (estimated lower bound: 3.277198). Number of funcation evaluation: 295, found largest slope: 589.48779296875
[2022/08/16 08:15:34] - [-] 67 th iter: Global minimum: 4.366491 (estimated lower bound: 3.277198). Number of funcation evaluation: 297, found largest slope: 589.48779296875
[2022/08/16 08:15:34] - [-] 68 th iter: Global minimum: 4.156003 (estimated lower bound: -5.647637). Number of funcation evaluation: 303, found largest slope: 589.48779296875
[2022/08/16 08:15:34] - [-] 69 th iter: Global minimum: 4.156003 (estimated lower bound: 0.888123). Number of funcation evaluation: 309, found largest slope: 589.48779296875
[2022/08/16 08:15:34] - [-] 70 th iter: Global minimum: 4.149163 (estimated lower bound: 0.881283). Number of funcation evaluation: 315, found largest slope: 589.48779296875
[2022/08/16 08:15:34] - [-] 71 th iter: Global minimum: 4.149163 (estimated lower bound: 3.059870). Number of funcation evaluation: 319, found largest slope: 589.48779296875
[2022/08/16 08:15:34] - [-] 72 th iter: Global minimum: 4.149163 (estimated lower bound: 3.059870). Number of funcation evaluation: 325, found largest slope: 589.48779296875
[2022/08/16 08:15:34] - [-] 73 th iter: Global minimum: 4.149163 (estimated lower bound: 3.059870). Number of funcation evaluation: 327, found largest slope: 589.48779296875
[2022/08/16 08:15:34] - [-] 74 th iter: Global minimum: 4.149163 (estimated lower bound: 3.059870). Number of funcation evaluation: 329, found largest slope: 589.48779296875
[2022/08/16 08:15:34] - [-] 75 th iter: Global minimum: 4.149163 (estimated lower bound: 3.059870). Number of funcation evaluation: 331, found largest slope: 589.48779296875
[2022/08/16 08:15:34] - [-] 76 th iter: Global minimum: 4.149163 (estimated lower bound: 3.059870). Number of funcation evaluation: 335, found largest slope: 589.48779296875
[2022/08/16 08:15:34] - [-] 77 th iter: Global minimum: 4.149163 (estimated lower bound: 3.059870). Number of funcation evaluation: 337, found largest slope: 589.48779296875
[2022/08/16 08:15:34] - [-] 78 th iter: Global minimum: 4.149163 (estimated lower bound: 3.059870). Number of funcation evaluation: 339, found largest slope: 589.48779296875
[2022/08/16 08:15:34] - [-] 79 th iter: Global minimum: 4.149163 (estimated lower bound: 3.059870). Number of funcation evaluation: 343, found largest slope: 589.48779296875
[2022/08/16 08:15:34] - [-] 80 th iter: Global minimum: 4.149163 (estimated lower bound: 3.059870). Number of funcation evaluation: 345, found largest slope: 589.48779296875
[2022/08/16 08:15:34] - [-] 81 th iter: Global minimum: 4.149163 (estimated lower bound: 3.059870). Number of funcation evaluation: 347, found largest slope: 589.48779296875
[2022/08/16 08:15:34] - [-] 82 th iter: Global minimum: 4.149163 (estimated lower bound: 3.059870). Number of funcation evaluation: 351, found largest slope: 589.48779296875
[2022/08/16 08:15:34] - [-] 83 th iter: Global minimum: 4.149163 (estimated lower bound: 3.059870). Number of funcation evaluation: 353, found largest slope: 589.48779296875
[2022/08/16 08:15:34] - [-] 84 th iter: Global minimum: 4.149163 (estimated lower bound: 3.059870). Number of funcation evaluation: 355, found largest slope: 589.48779296875
[2022/08/16 08:15:34] - [-] 85 th iter: Global minimum: 4.149163 (estimated lower bound: 3.059870). Number of funcation evaluation: 357, found largest slope: 589.48779296875
[2022/08/16 08:15:34] - [-] 86 th iter: Global minimum: 4.149163 (estimated lower bound: 3.059870). Number of funcation evaluation: 361, found largest slope: 589.48779296875
[2022/08/16 08:15:34] - [-] 87 th iter: Global minimum: 4.149163 (estimated lower bound: 3.059870). Number of funcation evaluation: 365, found largest slope: 589.48779296875
[2022/08/16 08:15:34] - [-] 88 th iter: Global minimum: 4.149163 (estimated lower bound: 3.059870). Number of funcation evaluation: 367, found largest slope: 589.48779296875
[2022/08/16 08:15:34] - [-] 89 th iter: Global minimum: 4.149163 (estimated lower bound: 3.059870). Number of funcation evaluation: 369, found largest slope: 589.48779296875
[2022/08/16 08:15:34] - [-] 90 th iter: Global minimum: 4.149163 (estimated lower bound: 3.059870). Number of funcation evaluation: 373, found largest slope: 589.48779296875
[2022/08/16 08:15:34] - [-] 91 th iter: Global minimum: 4.149163 (estimated lower bound: 3.059870). Number of funcation evaluation: 375, found largest slope: 589.48779296875
[2022/08/16 08:15:34] - [-] 92 th iter: Global minimum: 4.149163 (estimated lower bound: 3.059870). Number of funcation evaluation: 377, found largest slope: 589.48779296875
[2022/08/16 08:15:34] - [-] 93 th iter: Global minimum: 4.149163 (estimated lower bound: 3.059870). Number of funcation evaluation: 381, found largest slope: 589.48779296875
[2022/08/16 08:15:34] - [-] 94 th iter: Global minimum: 4.149163 (estimated lower bound: 3.059870). Number of funcation evaluation: 383, found largest slope: 589.48779296875
[2022/08/16 08:15:34] - [-] 95 th iter: Global minimum: 4.149163 (estimated lower bound: 3.059870). Number of funcation evaluation: 387, found largest slope: 589.48779296875
[2022/08/16 08:15:34] - [-] 96 th iter: Global minimum: 4.149163 (estimated lower bound: 3.059870). Number of funcation evaluation: 389, found largest slope: 589.48779296875
[2022/08/16 08:15:34] - [-] 97 th iter: Global minimum: 4.149163 (estimated lower bound: 3.059870). Number of funcation evaluation: 391, found largest slope: 589.48779296875
[2022/08/16 08:15:34] - [-] 98 th iter: Global minimum: 4.149163 (estimated lower bound: 3.059870). Number of funcation evaluation: 395, found largest slope: 589.48779296875
[2022/08/16 08:15:34] - [-] 99 th iter: Global minimum: 4.149163 (estimated lower bound: 3.059870). Number of funcation evaluation: 397, found largest slope: 589.48779296875
[2022/08/16 08:15:34] - [-] 100 th iter: Global minimum: 4.149163 (estimated lower bound: 3.059870). Number of funcation evaluation: 399, found largest slope: 589.48779296875
[2022/08/16 08:15:34] - [-] 101 th iter: Global minimum: 4.149163 (estimated lower bound: 3.059870). Number of funcation evaluation: 401, found largest slope: 589.48779296875
[2022/08/16 08:15:34] - [-] 102 th iter: Global minimum: 4.149163 (estimated lower bound: 3.059870). Number of funcation evaluation: 405, found largest slope: 589.48779296875
[2022/08/16 08:15:34] - [-] 103 th iter: Global minimum: 4.149163 (estimated lower bound: 3.059870). Number of funcation evaluation: 407, found largest slope: 589.48779296875
[2022/08/16 08:15:34] - [-] 104 th iter: Global minimum: 4.149163 (estimated lower bound: 3.059870). Number of funcation evaluation: 411, found largest slope: 589.48779296875
[2022/08/16 08:15:34] - [-] 105 th iter: Global minimum: 4.149163 (estimated lower bound: 3.059870). Number of funcation evaluation: 413, found largest slope: 589.48779296875
[2022/08/16 08:15:34] - [-] 106 th iter: Global minimum: 4.149163 (estimated lower bound: 3.059870). Number of funcation evaluation: 415, found largest slope: 589.48779296875
[2022/08/16 08:15:34] - [-] 107 th iter: Global minimum: 4.149163 (estimated lower bound: 3.059870). Number of funcation evaluation: 419, found largest slope: 589.48779296875
[2022/08/16 08:15:34] - [-] 108 th iter: Global minimum: 4.149163 (estimated lower bound: 3.059870). Number of funcation evaluation: 421, found largest slope: 589.48779296875
[2022/08/16 08:15:34] - [-] 109 th iter: Global minimum: 4.149163 (estimated lower bound: 3.059870). Number of funcation evaluation: 423, found largest slope: 589.48779296875
[2022/08/16 08:15:34] - [-] 110 th iter: Global minimum: 4.149163 (estimated lower bound: 3.059870). Number of funcation evaluation: 427, found largest slope: 589.48779296875
[2022/08/16 08:15:34] - [-] 111 th iter: Global minimum: 4.149163 (estimated lower bound: 3.059870). Number of funcation evaluation: 429, found largest slope: 589.48779296875
[2022/08/16 08:15:34] - [-] 112 th iter: Global minimum: 4.149163 (estimated lower bound: 3.059870). Number of funcation evaluation: 431, found largest slope: 589.48779296875
[2022/08/16 08:15:34] - [-] 113 th iter: Global minimum: 4.149163 (estimated lower bound: 3.059870). Number of funcation evaluation: 433, found largest slope: 589.48779296875
[2022/08/16 08:15:34] - [-] 114 th iter: Global minimum: 4.149163 (estimated lower bound: 3.059870). Number of funcation evaluation: 435, found largest slope: 589.48779296875
[2022/08/16 08:15:34] - [-] 115 th iter: Global minimum: 4.149163 (estimated lower bound: 3.059870). Number of funcation evaluation: 439, found largest slope: 589.48779296875
[2022/08/16 08:15:34] - [-] 116 th iter: Global minimum: 4.149163 (estimated lower bound: 3.059870). Number of funcation evaluation: 441, found largest slope: 589.48779296875
[2022/08/16 08:15:35] - [-] 117 th iter: Global minimum: 4.149163 (estimated lower bound: 3.059870). Number of funcation evaluation: 443, found largest slope: 589.48779296875
[2022/08/16 08:15:35] - [-] 118 th iter: Global minimum: 4.149163 (estimated lower bound: 3.059870). Number of funcation evaluation: 445, found largest slope: 589.48779296875
[2022/08/16 08:15:35] - [-] 119 th iter: Global minimum: 4.149163 (estimated lower bound: 2.792629). Number of funcation evaluation: 451, found largest slope: 734.1092529296875
[2022/08/16 08:15:35] - [-] 120 th iter: Global minimum: 4.149163 (estimated lower bound: 2.792629). Number of funcation evaluation: 455, found largest slope: 734.1092529296875
[2022/08/16 08:15:35] - [-] 121 th iter: Global minimum: 4.149163 (estimated lower bound: 2.792629). Number of funcation evaluation: 457, found largest slope: 734.1092529296875
[2022/08/16 08:15:35] - [-] 122 th iter: Global minimum: 4.149163 (estimated lower bound: 2.792629). Number of funcation evaluation: 459, found largest slope: 734.1092529296875
[2022/08/16 08:15:35] - [-] 123 th iter: Global minimum: 4.149163 (estimated lower bound: 2.792629). Number of funcation evaluation: 463, found largest slope: 734.1092529296875
[2022/08/16 08:15:35] - [-] 124 th iter: Global minimum: 4.149163 (estimated lower bound: 2.792629). Number of funcation evaluation: 465, found largest slope: 734.1092529296875
[2022/08/16 08:15:35] - [-] 125 th iter: Global minimum: 4.149163 (estimated lower bound: 2.792629). Number of funcation evaluation: 469, found largest slope: 734.1092529296875
[2022/08/16 08:15:35] - [-] 126 th iter: Global minimum: 4.149163 (estimated lower bound: 2.792629). Number of funcation evaluation: 473, found largest slope: 734.1092529296875
[2022/08/16 08:15:35] - [-] 127 th iter: Global minimum: 4.149163 (estimated lower bound: 2.792629). Number of funcation evaluation: 475, found largest slope: 734.1092529296875
[2022/08/16 08:15:35] - [-] 128 th iter: Global minimum: 4.149163 (estimated lower bound: 2.792629). Number of funcation evaluation: 477, found largest slope: 734.1092529296875
[2022/08/16 08:15:35] - [-] 129 th iter: Global minimum: 4.149163 (estimated lower bound: 2.792629). Number of funcation evaluation: 479, found largest slope: 734.1092529296875
[2022/08/16 08:15:35] - [-] 130 th iter: Global minimum: 4.149163 (estimated lower bound: 2.792629). Number of funcation evaluation: 481, found largest slope: 734.1092529296875
[2022/08/16 08:15:35] - [-] 131 th iter: Global minimum: 4.149163 (estimated lower bound: 2.792629). Number of funcation evaluation: 483, found largest slope: 734.1092529296875
[2022/08/16 08:15:35] - [-] 132 th iter: Global minimum: 4.149163 (estimated lower bound: 2.792629). Number of funcation evaluation: 491, found largest slope: 734.1092529296875
[2022/08/16 08:15:35] - [-] 133 th iter: Global minimum: 4.149163 (estimated lower bound: 2.792629). Number of funcation evaluation: 495, found largest slope: 734.1092529296875
[2022/08/16 08:15:35] - [-] 134 th iter: Global minimum: 4.149163 (estimated lower bound: 2.792629). Number of funcation evaluation: 499, found largest slope: 734.1092529296875
[2022/08/16 08:15:35] - [-] 135 th iter: Global minimum: 4.149163 (estimated lower bound: 2.792629). Number of funcation evaluation: 501, found largest slope: 734.1092529296875
[2022/08/16 08:15:35] - [-] 136 th iter: Global minimum: 4.149163 (estimated lower bound: 2.792629). Number of funcation evaluation: 505, found largest slope: 734.1092529296875
[2022/08/16 08:15:35] - [-] 137 th iter: Global minimum: 4.149163 (estimated lower bound: 2.792629). Number of funcation evaluation: 507, found largest slope: 734.1092529296875
[2022/08/16 08:15:35] - [-] 138 th iter: Global minimum: 4.149163 (estimated lower bound: 2.792629). Number of funcation evaluation: 509, found largest slope: 734.1092529296875
[2022/08/16 08:15:35] - [-] 139 th iter: Global minimum: 4.149163 (estimated lower bound: 2.792629). Number of funcation evaluation: 517, found largest slope: 734.1092529296875
[2022/08/16 08:15:35] - [-] 140 th iter: Global minimum: 4.149163 (estimated lower bound: 2.792629). Number of funcation evaluation: 521, found largest slope: 734.1092529296875
[2022/08/16 08:15:35] - [-] 141 th iter: Global minimum: 4.149163 (estimated lower bound: 2.792629). Number of funcation evaluation: 525, found largest slope: 734.1092529296875
[2022/08/16 08:15:35] - [-] 142 th iter: Global minimum: 4.149163 (estimated lower bound: 2.792629). Number of funcation evaluation: 527, found largest slope: 734.1092529296875
[2022/08/16 08:15:35] - [-] 143 th iter: Global minimum: 4.149163 (estimated lower bound: 2.792629). Number of funcation evaluation: 531, found largest slope: 734.1092529296875
[2022/08/16 08:15:35] - [-] 144 th iter: Global minimum: 4.149163 (estimated lower bound: 2.792629). Number of funcation evaluation: 533, found largest slope: 734.1092529296875
[2022/08/16 08:15:35] - [-] 145 th iter: Global minimum: 4.149163 (estimated lower bound: 2.792629). Number of funcation evaluation: 535, found largest slope: 734.1092529296875
[2022/08/16 08:15:35] - [-] 146 th iter: Global minimum: 4.149163 (estimated lower bound: 2.792629). Number of funcation evaluation: 537, found largest slope: 734.1092529296875
[2022/08/16 08:15:35] - [-] 147 th iter: Global minimum: 4.149163 (estimated lower bound: 2.792629). Number of funcation evaluation: 543, found largest slope: 734.1092529296875
[2022/08/16 08:15:35] - [-] 148 th iter: Global minimum: 4.149163 (estimated lower bound: 2.792629). Number of funcation evaluation: 545, found largest slope: 734.1092529296875
[2022/08/16 08:15:35] - [-] 149 th iter: Global minimum: 4.149163 (estimated lower bound: 2.792629). Number of funcation evaluation: 547, found largest slope: 734.1092529296875
[2022/08/16 08:15:35] - [-] 150 th iter: Global minimum: 4.149163 (estimated lower bound: 2.792629). Number of funcation evaluation: 551, found largest slope: 734.1092529296875
[2022/08/16 08:15:35] - [-] 151 th iter: Global minimum: 4.149163 (estimated lower bound: 2.792629). Number of funcation evaluation: 553, found largest slope: 734.1092529296875
[2022/08/16 08:15:35] - [-] 152 th iter: Global minimum: 4.149163 (estimated lower bound: 2.792629). Number of funcation evaluation: 555, found largest slope: 734.1092529296875
[2022/08/16 08:15:35] - [-] 153 th iter: Global minimum: 4.149163 (estimated lower bound: 2.792629). Number of funcation evaluation: 557, found largest slope: 734.1092529296875
[2022/08/16 08:15:35] - [-] 154 th iter: Global minimum: 4.149163 (estimated lower bound: 2.792629). Number of funcation evaluation: 561, found largest slope: 734.1092529296875
[2022/08/16 08:15:35] - [-] 155 th iter: Global minimum: 4.149163 (estimated lower bound: 2.792629). Number of funcation evaluation: 563, found largest slope: 734.1092529296875
[2022/08/16 08:15:35] - [-] 156 th iter: Global minimum: 4.149163 (estimated lower bound: 2.792629). Number of funcation evaluation: 567, found largest slope: 734.1092529296875
[2022/08/16 08:15:35] - [-] 157 th iter: Global minimum: 4.149163 (estimated lower bound: 2.792629). Number of funcation evaluation: 569, found largest slope: 734.1092529296875
[2022/08/16 08:15:35] - [-] 158 th iter: Global minimum: 4.149163 (estimated lower bound: 2.792629). Number of funcation evaluation: 575, found largest slope: 734.1092529296875
[2022/08/16 08:15:35] - [-] 159 th iter: Global minimum: 4.149163 (estimated lower bound: 2.792629). Number of funcation evaluation: 579, found largest slope: 734.1092529296875
[2022/08/16 08:15:35] - [-] 160 th iter: Global minimum: 4.149163 (estimated lower bound: 2.792629). Number of funcation evaluation: 581, found largest slope: 734.1092529296875
[2022/08/16 08:15:35] - [-] 161 th iter: Global minimum: 4.149163 (estimated lower bound: 2.792629). Number of funcation evaluation: 589, found largest slope: 734.1092529296875
[2022/08/16 08:15:35] - [-] 162 th iter: Global minimum: 4.149163 (estimated lower bound: 2.792629). Number of funcation evaluation: 591, found largest slope: 734.1092529296875
[2022/08/16 08:15:35] - [-] 163 th iter: Global minimum: 4.149163 (estimated lower bound: 2.792629). Number of funcation evaluation: 595, found largest slope: 734.1092529296875
[2022/08/16 08:15:35] - [-] 164 th iter: Global minimum: 4.149163 (estimated lower bound: 2.792629). Number of funcation evaluation: 599, found largest slope: 734.1092529296875
[2022/08/16 08:15:35] - [-] 165 th iter: Global minimum: 4.149163 (estimated lower bound: 2.792629). Number of funcation evaluation: 601, found largest slope: 734.1092529296875
[2022/08/16 08:15:35] - [-] 166 th iter: Global minimum: 4.149163 (estimated lower bound: 2.792629). Number of funcation evaluation: 605, found largest slope: 734.1092529296875
[2022/08/16 08:15:35] - [-] 167 th iter: Global minimum: 4.149163 (estimated lower bound: 2.792629). Number of funcation evaluation: 607, found largest slope: 734.1092529296875
[2022/08/16 08:15:35] - [-] 168 th iter: Global minimum: 4.149163 (estimated lower bound: 2.792629). Number of funcation evaluation: 609, found largest slope: 734.1092529296875
[2022/08/16 08:15:35] - [-] 169 th iter: Global minimum: 4.149163 (estimated lower bound: 2.792629). Number of funcation evaluation: 613, found largest slope: 734.1092529296875
[2022/08/16 08:15:35] - [-] 170 th iter: Global minimum: 4.149163 (estimated lower bound: 2.792629). Number of funcation evaluation: 615, found largest slope: 734.1092529296875
[2022/08/16 08:15:35] - [-] 171 th iter: Global minimum: 4.149163 (estimated lower bound: 2.792629). Number of funcation evaluation: 617, found largest slope: 734.1092529296875
[2022/08/16 08:15:35] - [-] 172 th iter: Global minimum: 4.149163 (estimated lower bound: 2.792629). Number of funcation evaluation: 619, found largest slope: 734.1092529296875
[2022/08/16 08:15:35] - [-] 173 th iter: Global minimum: 4.149163 (estimated lower bound: 2.792629). Number of funcation evaluation: 623, found largest slope: 734.1092529296875
